epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1168.32,1.1135,1.69041,1.47291,0.75403,0.93744,0.97042,0.5977,0.7861,0.71714,0.76007,0.000150885,0.000150885,0.000150885
64,1185.99,1.07139,1.56663,1.42242,0.81003,0.95857,0.98583,0.69453,0.62473,0.58271,0.66385,0.000150545,0.000150545,0.000150545
65,1203.27,1.11101,1.53015,1.45269,0.89463,0.91867,0.98797,0.66004,0.6535,0.73066,0.68041,0.000150204,0.000150204,0.000150204
66,1220.96,1.07527,1.48825,1.44477,0.8487,0.94117,0.97663,0.63219,0.68084,0.60934,0.69503,0.000149864,0.000149864,0.000149864
67,1238.46,1.12467,1.52298,1.46128,0.82196,0.92809,0.99103,0.70125,0.59128,0.61247,0.64413,0.000149523,0.000149523,0.000149523
68,1258.4,1.09287,1.42447,1.4231,0.85002,0.96016,0.98899,0.68812,0.6431,0.58511,0.67753,0.000149182,0.000149182,0.000149182
69,1277.1,1.11706,1.43007,1.4358,0.87614,0.93132,0.98415,0.69036,0.61297,0.52498,0.65395,0.000148842,0.000148842,0.000148842
70,1295.9,1.11775,1.44007,1.42384,0.88035,0.94282,0.98965,0.66392,0.65182,0.51031,0.67792,0.000148501,0.000148501,0.000148501
71,1314.66,1.09503,1.38571,1.44289,0.8796,0.93945,0.99347,0.67398,0.67104,0.46698,0.67713,0.000148161,0.000148161,0.000148161
72,1332.92,1.06381,1.38105,1.37554,0.91296,0.91579,0.98398,0.67263,0.67813,0.53184,0.68354,0.00014782,0.00014782,0.00014782
73,1352.32,1.07084,1.37786,1.37777,0.89379,0.96717,0.98736,0.67634,0.6991,0.63165,0.70487,0.00014748,0.00014748,0.00014748
74,1372.3,1.06747,1.36337,1.39632,0.89113,0.95601,0.995,0.69758,0.66055,0.69429,0.66239,0.000147139,0.000147139,0.000147139
75,1391,1.08593,1.34318,1.42483,0.86502,0.95652,0.99347,0.6763,0.68635,0.56083,0.68282,0.000146799,0.000146799,0.000146799
76,1409.53,1.08732,1.28914,1.40638,0.8669,0.96717,0.99347,0.70696,0.59724,0.63077,0.64098,0.000146458,0.000146458,0.000146458
77,1427.94,1.06247,1.32292,1.41461,0.87858,0.94055,0.99256,0.71667,0.56951,0.46888,0.6304,0.000146117,0.000146117,0.000146117
78,1446.78,1.07751,1.30363,1.38394,0.88904,0.97728,0.995,0.6607,0.70653,0.55303,0.69529,0.000145777,0.000145777,0.000145777
79,1465.33,1.04486,1.29135,1.39193,0.90536,0.96518,0.99347,0.63068,0.73275,0.57317,0.7209,0.000145436,0.000145436,0.000145436
80,1483.75,1.03842,1.28395,1.37739,0.90081,0.94557,0.99347,0.70999,0.60708,0.60226,0.63972,0.000145096,0.000145096,0.000145096
81,1502.33,1.05408,1.21201,1.38909,0.91529,0.95068,0.995,0.70368,0.61231,0.63811,0.64281,0.000144755,0.000144755,0.000144755
82,1520.69,1.01089,1.15654,1.33052,0.87641,0.96374,0.995,0.67423,0.66375,0.82381,0.67767,0.000144415,0.000144415,0.000144415
83,1539.1,1.00685,1.20697,1.34567,0.91689,0.96269,0.995,0.71272,0.59651,0.51823,0.64329,0.000144074,0.000144074,0.000144074
84,1557.41,1.02291,1.19849,1.37347,0.9283,0.93715,0.995,0.67978,0.6269,0.43277,0.66766,0.000143734,0.000143734,0.000143734
85,1575.74,1.00359,1.19095,1.32679,0.9186,0.98199,0.995,0.65428,0.69459,0.40771,0.70219,0.000143393,0.000143393,0.000143393
86,1594.01,1.016,1.19503,1.34972,0.90365,0.95594,0.995,0.70174,0.62186,0.48565,0.65394,0.000143052,0.000143052,0.000143052
87,1612.43,0.9951,1.14872,1.32501,0.93432,0.96545,0.995,0.6763,0.64722,0.99273,0.67303,0.000142712,0.000142712,0.000142712
88,1630.75,1.06253,1.17698,1.37778,0.94752,0.95348,0.995,0.60167,0.77682,0.51958,0.74884,0.000142371,0.000142371,0.000142371
89,1649.06,1.02891,1.16507,1.35723,0.89691,0.96301,0.995,0.68686,0.60937,0.63709,0.64471,0.000142031,0.000142031,0.000142031
90,1667.5,1.01869,1.15681,1.34461,0.94903,0.96585,0.995,0.70117,0.62204,0.54163,0.65048,0.00014169,0.00014169,0.00014169
91,1685.78,0.99084,1.11575,1.34127,0.90142,0.97579,0.995,0.67845,0.62802,0.41339,0.66122,0.00014135,0.00014135,0.00014135
